Country Name,Country Code,Series Name,Series Code,1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Lebanon,LBN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13590690651.8309,7821290496.8826,9896526025.77854,14790098775.879,17221346342.7057,19075339624.5917,20621442059.1652,21951290517.4826,24428699054.1547,24686413686.4571,25591349424.6391,25456845224.2295,25798443405.5655,26789018310.9609,27706046545.3127,28600147893.7267,30510478932.4999,31329923063.1007,31815384920.7126,34777595316.005,37931620043.7015,41812842419.7439,45147473283.5593,45539055323.5066,46707037069.3046,48494923363.2625,49699566407.4833,49929337836.8159,50705514062.8608,51163399287.7034,50199119756.2008,46727888410.6848,36728167162.8739,34156740537.1604,..
Lebanon,LBN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3931.1856628154,2218.48987658569,2753.85425210188,4033.58923114657,4597.99064366189,4995.11878209564,5303.67241006641,5543.75915928786,6055.33654124323,6010.00783348938,6124.11395866336,5989.8177477352,5970.97454627471,6103.3943112551,6230.74603429012,6348.80648465667,6669.25306904325,6747.71185952593,6740.74187745932,7230.85858889228,7760.76584698942,8445.10247039192,9037.08580879125,9026.4717227136,9019.69822923935,8539.56607828988,7921.0802355822,7802.75136769776,8101.70966835667,8374.74035900031,8435.63735402702,8081.74334362085,6485.72603986915,6107.45470909137,..
Lebanon,LBN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-42.4511182157698,26.5331600932491,49.4473791849141,16.4383457045728,10.7656697971889,8.10524197734502,6.44886256985258,11.2859357161668,1.05496666740667,3.66572378505683,-0.525584634783087,1.34187161970405,3.83966927702973,3.42314982843781,3.22709826879041,6.67944461641103,2.68577931016345,1.54951500083213,9.31062252641144,9.06912826789082,10.232155577776,7.97513555844932,0.86733987855277,2.56479133680038,3.8278734986016,2.48406010500743,0.462320792597581,1.55454940856943,0.903028464073813,-1.88470575631651,-6.91492472851026,-21.3998996914321,-7.00123862514116,..
Lebanon,LBN,Net migration,SM.POP.NETM,482,-3831,0,700005,0,-694999,-2103,2104,-1799,-12981,-14558,-2785,-1108,33549,607,-1916,-1827,-6595,1159,-970,-5196,-4850,2634,3164,1313,1062,2589,455,-1094,-21543,1674,4974,1224,25126,27944,430,-2700,-40915,2246,124428,733504,301113,-223722,-228173,-230947,-233520,-237572,-115146,-115122,-160237
Syrian Arab Republic,SYR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,5049734098.17383,6352352035.89986,7391061710.36461,8296795420.97781,8147493104.11321,8957564948.83008,9037107124.40974,10348221195.2087,11150761332.769,11461765728.2803,11727717655.9834,10835164432.8941,11848339783.0965,10906049737.7481,11089520287.0788,13086869322.4268,11300867337.8973,11723469589.4469,12622245655.9491,14259703086.8341,15136802532.7394,16228624520.1706,17368943353.6827,19075540937.7635,20033858823.3414,21393217152.4812,20633019905.1543,20772425375.1151,20989972306.8246,21820090433.0891,23392104676.791,25006852173.5974,26561047500.3681,27901369898.9203,29484658740.8352,30804590420.0124,32625770987.9681,34319670297.4832,35297781876.8686,26000693080.4286,19162488006.9764,17186770359.6925,16468399173.0006,15413500920.6537,15302017877.2243,15515201929.7883,15704596809.7482,15675962545.0404,15879709001.1369,..
Syrian Arab Republic,SYR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,721.069812396861,876.803152437812,985.852673459751,1069.35753330213,1014.71858228882,1077.89783935005,1050.7351424719,1162.85815110502,1211.56057718163,1205.13744002634,1192.39125201995,1064.03001048342,1124.03215648194,999.856131548792,983.017029009546,1122.58751693092,939.070653817836,944.755690907382,987.479907220713,1083.86006686279,1118.17503451558,1165.62956730797,1213.47008259244,1296.87251746129,1326.3946059931,1380.15929717046,1297.57619598383,1273.78379349446,1254.78464584088,1271.26915267052,1328.23984006632,1382.81588663383,1429.27683329774,1435.8458715679,1424.17290344253,1434.50245805939,1494.72864560709,1536.41067727411,1552.8659756317,1150.18931303672,891.451785301727,856.246099571415,857.497867137736,812.766088567779,806.074762226099,802.505062325787,781.391217064021,754.646328253181,744.674343727853,..
Syrian Arab Republic,SYR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-10.4698549438381,25.7957728545964,16.3515760555234,12.2544466019418,-1.79951787755418,9.94259012392304,0.887988823235375,14.5081169532396,7.75534386462431,2.78908664825673,2.32033993721339,-7.61063021187196,9.3508073317891,-7.95292895543678,1.68228234551005,18.0111401002195,-13.6472821767151,3.73955590233751,7.66646818712442,12.972790068566,6.15089557310075,7.21302920527431,7.02658954303115,9.82556940470964,5.0238045081104,6.78530452433867,-3.55344987109004,0.675642589410501,1.04728710191981,3.95483192702744,7.20443505274413,6.90295943489203,6.21507783539282,5.04619555585526,5.67459177685805,4.47667273608019,5.91204279337705,5.19190584075331,2.8500028435797,-26.3390170772532,-26.3000876641997,-10.3103399024413,-4.17979161679355,-6.4055907393619,-0.723281777470547,1.39317607830837,1.22070522070523,-0.182330467026262,1.29973808951831,..
Syrian Arab Republic,SYR,Net migration,SM.POP.NETM,-17352,-19620,-21100,-22324,-24316,-26537,-28341,-28012,-21022,-13552,-12486,-13170,-12623,-12927,-12956,-12793,-12471,-12182,-11960,-11272,-11553,-18146,-13569,-16245,-16907,-17572,-18162,-18458,-18374,-17963,-17451,10911,13431,682984,801533,-402356,-52701,-54336,-256835,-999191,-2081259,-1457678,-827474,-133823,-293599,513647,500572,270006,212187,734304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
